source_image,source_site,source_split,tile_id,row_index,column_index,x_offset,y_offset,tile_width,tile_height,source_width,source_height,padding_left,padding_right,padding_top,padding_bottom,foreground_pixels,foreground_percentage,component_count,has_boundary_target,is_training_suitable
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0000_c0000,0,0,0,0,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0000_c0001,0,1,512,0,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0000_c0002,0,2,1024,0,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0000_c0003,0,3,1536,0,640,640,1728,13760,0,448,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0001_c0000,1,0,0,512,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0001_c0001,1,1,512,512,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0001_c0002,1,2,1024,512,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0001_c0003,1,3,1536,512,640,640,1728,13760,0,448,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0002_c0000,2,0,0,1024,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0002_c0001,2,1,512,1024,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0002_c0002,2,2,1024,1024,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0002_c0003,2,3,1536,1024,640,640,1728,13760,0,448,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0003_c0000,3,0,0,1536,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0003_c0001,3,1,512,1536,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0003_c0002,3,2,1024,1536,640,640,1728,13760,0,0,0,0,0,0.0,0,False,True
Exploratory_A_01.png,Exploratory_A,extras,Exploratory_A_01__tile_r0003_c0003,3,3,1536,1536,640,640,1728,13760,0,448,0,0,0,0.0,0,False,True
