sample_id,split,site_id,filename,status,width,height,channels,dtype,image_format,min_intensity,max_intensity,mean_intensity,std_intensity,zero_pixel_pct,saturation_pct,is_empty_mask,foreground_pixel_count,foreground_pct,flags
extras_Exploratory_A_01.png,extras,Exploratory_A,Exploratory_A_01.png,VALID,1728,13760,1,uint8,PNG,0,255,72.19,66.07,15.715,1.544,True,0,0.0,
extras_Exploratory_A_02.png,extras,Exploratory_A,Exploratory_A_02.png,VALID,1728,13799,1,uint8,PNG,0,255,74.68,67.85,15.532,1.761,True,0,0.0,
extras_Exploratory_B_01.png,extras,Exploratory_B,Exploratory_B_01.png,VALID,1728,3623,1,uint8,PNG,0,255,30.15,32.62,4.211,0.255,True,0,0.0,
extras_Exploratory_B_02.png,extras,Exploratory_B,Exploratory_B_02.png,VALID,1728,3675,1,uint8,PNG,0,255,31.41,32.88,4.009,0.23,True,0,0.0,
extras_Exploratory_B_03.png,extras,Exploratory_B,Exploratory_B_03.png,SUSPICIOUS,1728,29,1,uint8,PNG,0,255,30.8,29.94,3.576,0.172,True,0,0.0,EXTREMELY_SHORT_HEIGHT_29PX (threshold: 64px)
extras_Exploratory_B_04.png,extras,Exploratory_B,Exploratory_B_04.png,VALID,1728,3665,1,uint8,PNG,0,255,31.26,32.4,3.132,0.23,True,0,0.0,
extras_Exploratory_B_05.png,extras,Exploratory_B,Exploratory_B_05.png,VALID,1728,3793,1,uint8,PNG,0,255,32.07,31.72,2.908,0.205,True,0,0.0,
extras_Exploratory_B_06.png,extras,Exploratory_B,Exploratory_B_06.png,VALID,1728,6221,1,uint8,PNG,0,255,25.03,29.34,6.242,0.169,True,0,0.0,
extras_Exploratory_B_07.png,extras,Exploratory_B,Exploratory_B_07.png,VALID,1728,6380,1,uint8,PNG,0,255,25.63,30.0,6.847,0.18,True,0,0.0,
extras_Exploratory_B_08.png,extras,Exploratory_B,Exploratory_B_08.png,VALID,1728,6280,1,uint8,PNG,0,255,26.78,30.39,7.005,0.181,True,0,0.0,
extras_Exploratory_B_09.png,extras,Exploratory_B,Exploratory_B_09.png,VALID,1728,6394,1,uint8,PNG,0,255,26.68,29.89,7.682,0.176,True,0,0.0,
extras_Exploratory_B_10.png,extras,Exploratory_B,Exploratory_B_10.png,VALID,1728,6342,1,uint8,PNG,0,255,26.01,29.59,8.086,0.167,True,0,0.0,
extras_Exploratory_B_11.png,extras,Exploratory_B,Exploratory_B_11.png,VALID,1728,6428,1,uint8,PNG,0,255,27.05,29.59,8.239,0.169,True,0,0.0,
extras_Exploratory_B_12.png,extras,Exploratory_B,Exploratory_B_12.png,VALID,1728,6304,1,uint8,PNG,0,255,27.51,29.8,8.67,0.163,True,0,0.0,
extras_Exploratory_B_13.png,extras,Exploratory_B,Exploratory_B_13.png,VALID,1728,5906,1,uint8,PNG,0,255,28.14,30.0,8.983,0.168,True,0,0.0,
extras_Exploratory_C_01.png,extras,Exploratory_C,Exploratory_C_01.png,VALID,1728,18745,1,uint8,PNG,0,255,63.67,58.23,1.045,0.999,True,0,0.0,
extras_Exploratory_C_02.png,extras,Exploratory_C,Exploratory_C_02.png,VALID,1728,18642,1,uint8,PNG,0,255,63.02,60.36,1.134,1.083,True,0,0.0,
extras_Mischelley_Reef_01.png,extras,Mischelley_Reef,Mischelley_Reef_01.png,VALID,1728,7030,1,uint8,PNG,0,255,72.49,70.25,0.448,2.219,True,0,0.0,
